"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Master's degree","Leibniz University Hannover","Religion in the Public Sphere (Double Degree Option)","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7770/"
"Master's degree","TU Dortmund University","Religion, Ethics, and Politics","Political Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8559/"
"Master's degree","Ruhr-Universität Bochum","Religious Studies","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6244/"
"Master's degree","Karlsruhe Institute of Technology","Remote Sensing and Geoinformatics","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6163/"
"Master's degree","University of Bonn","Renaissance Studies","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3973/"
"Master's degree","Stralsund University of Applied Sciences","Renewable Energy and E-Mobility (REEM)","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6455/"
"Master's degree","Technische Hochschule Köln (University of Applied Sciences)","Renewable Energy Management (Master of Science)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4520/"
"Master's degree","Technische Hochschule Ingolstadt","Renewable Energy Systems (RES)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4685/"
"PhD / Doctorate","University of Münster","Research Doctorate at the International Graduate School of Battery Chemistry, Characterisation, Analysis, Recycling and Application (BACCARA)","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7717/"
"Master's degree","Technische Universität Ilmenau","Research in Computer & Systems Engineering (RCSE)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4092/"
"Master's degree","Technische Universität Ilmenau","Research in Media Engineering","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4147/"
"Master's degree","Carl von Ossietzky University of Oldenburg","Research Master's in Neurocognitive Psychology","Psychology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4712/"
"PhD / Doctorate","Friedrich Schiller University Jena","Research School for Advanced Photon Science (RS-APS)","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8450/"
"PhD / Doctorate","University of Potsdam","Research School for Data Science and Engineering","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7662/"
"PhD / Doctorate","University of Potsdam","Research School for Service-Oriented Systems Engineering","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7619/"
"PhD / Doctorate","Ludwig-Maximilians-Universität München","Research Training Group of the Collaborative Research Centre 1369: Cultures of Vigilance","Languages and Cultural Studies in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7042/"
"Master's degree","RWTH Aachen University","Resilient Civil Engineering (RCE)","Civil Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8967/"
"Master's degree","Weihenstephan-Triesdorf University of Applied Sciences","Resilient Horticulture","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9964/"
"Master's degree","HafenCity University Hamburg","Resource Efficiency in Architecture and Planning (REAP)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4061/"
"Master's degree","Technical University of Munich","Responsibility in Science, Engineering and Technology (RESET) (MA)","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5284/"
"Master's degree","Technische Hochschule Ingolstadt","Retail and Consumer Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4867/"
"Master's degree","Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau","Road Traffic Engineering","Transport Engineering, Nautical Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4793/"
"Master's degree","University of Siegen","Roads to Democracies – Historical and Contemporary Perspectives on Politics and Culture","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4142/"
"Short course","RWTH Aachen University","Robot Operating Systems Essentials | Summer School","Computer Science","EUR 2,750","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9683/"
"Master's degree","RWTH Aachen University","Robotic Systems Engineering (RoboSys)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4819/"
"Short course","RWTH Aachen University","Robotics & Communication Networks | Summer School","Computer Science","EUR 3,350","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5256/"
"PhD / Doctorate","University of Göttingen","RTG 2654: Sustainable Food Systems","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7645/"
"PhD / Doctorate","Ludwig-Maximilians-Universität München","RTG GRK 2338 Targets in Toxicology - Deciphering Therapeutic Targets in Lung Toxicology","Medicine in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5456/"
"PhD / Doctorate","University of Göttingen","RTG2824 Heart and Brain","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9621/"
"Graduate school","Ruhr-Universität Bochum","RUB Research School",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7119/"
"PhD / Doctorate","Saarland University","Saarbrücken Graduate School of Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3645/"
"Master's degree","Saarland University","Saarbrücken Graduate School of Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4842/"
"Master's degree","ESCP Berlin Campus","SALES 4.0 | Master in International Sales Management (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8534/"
"Bachelor's degree","Hochschule Niederrhein - University of Applied Sciences","Sales and Marketing, Bachelor of Arts","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7204/"
"Master's degree","Hochschule Fresenius - University of Applied Sciences","SAP Engineering & Analytics (MSc)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9960/"
"Master's degree","Julius-Maximilians-Universität Würzburg","Satellite Technology – Advanced Space Systems (SaTec)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6981/"
"Master's degree","Technical University of Munich","Science and Technology of Materials","Mechanical Engineering / Process Engineering",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6401/"
"Master's degree","Technical University of Munich","Science and Technology Studies","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4749/"
