"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Master's degree","Heinrich Heine University Düsseldorf","Master of Arts in Linguistics","General and Comparative Literature and Linguistics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9719/"
"Master's degree","University of Duisburg-Essen","Master of Arts in Modern East Asian Studies (MA MEAS)","Regional Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4280/"
"Master's degree","Freie Universität Berlin","Master of Arts in North American Studies","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3606/"
"Master's degree","University of Cologne","Master of Arts in North American Studies (NAS)","English Studies, American Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9573/"
"Master's degree","International Psychoanalytic University Berlin","Master of Arts in Psychology with a Clinical Focus","Psychology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4681/"
"Master's degree","University of Erfurt","Master of Arts in Religious Studies","Other / Non-European Languages and Cultural Studies",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7166/"
"Master's degree","University of Cologne","Master of Arts in Social and Cultural Anthropology","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9656/"
"Master's degree","University of Freiburg","Master of Arts in Social Sciences (Global Studies Programme)","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3733/"
"Master's degree","University of Mannheim","Master of Arts in Sociology","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4716/"
"Master's degree","Heidelberg University","Master of Arts in Transcultural Studies","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4273/"
"Master's degree","Pforzheim University","Master of Arts in Transportation Design","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9797/"
"Master's degree","University of Augsburg","Master of Arts in Urban Cultures (URC)","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9734/"
"Master's degree","Bielefeld University","Master of Arts InterAmerican Studies / Estudios InterAmericanos","Languages and Cultural Studies in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4102/"
"Master's degree","Mainz University of Applied Sciences","Master of Arts International Business / Negocios Internacionales Argentino-Alemana","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4515/"
"Master's degree","Ruhr-Universität Bochum","Master of Arts Programme in Ethics – Economics, Law and Politics","Philosophy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4330/"
"Master's degree","Merz Akademie","Master of Arts Programme: Research in Design, Art and Media","Art, Art Theory in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9236/"
"Master's degree","Freie Universität Berlin","Master of Arts: Sociology – European Societies","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4081/"
"Master's degree","Technical University of Applied Sciences Wildau","Master of Aviation Management (AVIMA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3821/"
"Master's degree","University of Cologne","Master of Biochemistry and Molecular Medicine","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4826/"
"Master's degree","Furtwangen University","Master of Biomedical Engineering (BME)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3840/"
"Master's degree","HSBA Hamburg School of Business Administration","Master of Business Administration (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6410/"
"Master's degree","Hochschule Fresenius - University of Applied Sciences","Master of Business Administration (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9658/"
"Master's degree","Hochschule Fresenius - University of Applied Sciences","Master of Business Administration (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9659/"
"Master's degree","Hochschule Fresenius - University of Applied Sciences","Master of Business Administration (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9660/"
"Master's degree","Hochschule Fresenius - University of Applied Sciences","Master of Business Administration (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9661/"
"Master's degree","Darmstadt University of Applied Sciences","Master of Business Administration (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4328/"
"Master's degree","Berliner Hochschule für Technik","Master of Business Administration (MBA) Renewables","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4296/"
"Master's degree","Saarland University","Master of Business Administration (MBA) – European Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5381/"
"Master's degree","HTW Berlin University of Applied Sciences","Master of Business Administration and Engineering (MBA&E)","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3800/"
"Master's degree","Offenburg University of Applied Sciences","Master of Business Administration in International Business Consulting (IBC)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3770/"
"Master's degree","Ludwigshafen University of Business and Society","Master of Business Administration in International Business Management (Internationale Betriebswirtschaftslehre)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5636/"
"Master's degree","Pforzheim University","Master of Business Administration in International Management (MBA)","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3864/"
"Master's degree","Anhalt University of Applied Sciences","Master of Business Administration International Trade (MBA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7609/"
"Master's degree","Ludwigshafen University of Business and Society","Master of Business Administration Wine, Sustainability & Sales","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4760/"
"Master's degree","University of Duisburg-Essen","Master of Business Administration – Energy and Finance","Business and Economics",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9984/"
"Master's degree","University of Mannheim","Master of Comparative Business Law (M.C.B.L.)","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6939/"
"Master's degree","Hertie School","Master of Data Science for Public Policy (MDS)","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7169/"
"Master's degree","European University Viadrina","Master of Digital Entrepreneurship","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7648/"
"Master's degree","Hochschule München University of Applied Sciences","Master of Engineering in Paper Technology","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3627/"
"Master's degree","Freie Universität Berlin","Master of European and International Business, Competition and Regulatory Law (MBL-FU)","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6880/"
"Master's degree","Frankfurt School of Finance & Management","Master of Finance (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9639/"
"Master's degree","University of Münster","Master of German Law (LLM)","Law",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3638/"
"Master's degree","Technical University of Munich","Master of Health Science – Prevention and Health Promotion","Sport",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4717/"
"Master's degree","Hertie School","Master of International Affairs (MA)","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4475/"
"Master's degree","HTW Berlin University of Applied Sciences","Master of International and Development Economics (MIDE)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3797/"
"Master's degree","Technical University of Applied Sciences Augsburg","Master of International Business and Finance","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6098/"
"Master's degree","European University Viadrina","Master of International Human Rights and Humanitarian Law","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6311/"
"Master's degree","Anhalt University of Applied Sciences","Master of Landscape Architecture (MLA)","Land Management, Environmental Architecture",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4199/"
"Master's degree","Kiel University","Master of Laws (LLM Int) – International Law","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9697/"
"Master's degree","University of Göttingen","Master of Laws (LLM) in European and Transnational Intellectual Property and Information Technology Law – LIPIT","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4763/"
"Master's degree","University of Göttingen","Master of Laws (LLM) in International Law – GOMIL","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9264/"
"Master's degree","Goethe University Frankfurt","Master of Laws in Finance (LLM Finance)","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3845/"
"Master's degree","Universität Hamburg","Master of Laws in German Law (LLM)","Law",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4192/"
"Master's degree","University of Passau","Master of Laws in German Law for Foreign Graduates","Law",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3641/"
"Master's degree","Munich Intellectual Property Law Center","Master of Laws in Intellectual Property and Competition Law","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3867/"
"Master's degree","Goethe University Frankfurt","Master of Laws in International Banking, Securities & Finance (for Graduates from Asia)","Law",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4394/"
"Master's degree","Philipps-Universität Marburg","Master of Peace and Conflict Studies (MA) (International Joint Degree)","Political Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3884/"
"Master's degree","Leibniz University Hannover","Master of Physics","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4576/"
"Master's degree","RWTH Aachen University","Master of Public Administration in European Studies (MPA-ES)","Political Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5624/"
"Master's degree","Hamburg University of Applied Sciences","Master of Public Health (MPH)","Medicine in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4029/"
"Master's degree","Hertie School","Master of Public Policy (MPP)","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4063/"
"Master's degree","University of Erfurt","Master of Public Policy (MPP) at the Willy Brandt School of Public Policy","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3726/"
"Master's degree","FAU Erlangen-Nürnberg","Master of Science (MSc) in International Business Studies (MIBS)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4166/"
"Master's degree","Friedrich Schiller University Jena","Master of Science Biochemistry","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4340/"
"Master's degree","Freie Universität Berlin","Master of Science Biodiversity, Evolution, Ecology","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4013/"
"Master's degree","University of Potsdam","Master of Science Ecology, Evolution, and Conservation (EEC)","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5665/"
"Master's degree","Friedrich Schiller University Jena","Master of Science Evolution, Ecology and Systematics (MEES)","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5550/"
"Master's degree","Aalen University","Master of Science in Advanced Materials and Manufacturing (Research Master's)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8980/"
"Master's degree","Constructor University","Master of Science in Advanced Software Technology","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9770/"
"Master's degree","Aalen University","Master of Science in Advanced Systems Design","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9738/"
"Master's degree","Technical University of Munich","Master of Science in Aerospace Engineering","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3965/"
"Master's degree","Technical University of Darmstadt","Master of Science in Aerospace Engineering","Transport Engineering, Nautical Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7775/"
"Master's degree","FH Aachen University of Applied Sciences","Master of Science in Aerospace Engineering (MSc)","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3854/"
"Master's degree","Kiel University","Master of Science in AgriGenomics","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4289/"
"Master's degree","RWTH Aachen University","Master of Science in Applied Health Informatics and Digital Medicine","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9198/"
"Master's degree","Paderborn University","Master of Science in Applied Neurosciences in Sports & Exercise (ANSE)","Sport",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4779/"
"Master's degree","Aalen University","Master of Science in Applied Photonics","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9130/"
"Master's degree","University of Freiburg","Master of Science in Applied Physics (MSc)","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4723/"
"Master's degree","Trier University","Master of Science in Applied Statistics","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4679/"
"Master's degree","Technical University of Darmstadt","Master of Science in Artificial Intelligence and Machine Learning","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4258/"
"Master's degree","University of Passau","Master of Science in Artificial Intelligence Engineering","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7784/"
"Master's degree","Ludwig-Maximilians-Universität München","Master of Science in Astrophysics","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7872/"
"Master's degree","RWTH Aachen University","Master of Science in Automotive Engineering","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4599/"
"Master's degree","Freie Universität Berlin","Master of Science in Biochemistry","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4609/"
"Master's degree","Freie Universität Berlin","Master of Science in Bioinformatics","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4724/"
"Master's degree","Ulm University","Master of Science in Biology","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8982/"
"Master's degree","Freie Universität Berlin","Master of Science in Biology","Biology",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5298/"
"Master's degree","Technische Universität Ilmenau","Master of Science in Biomedical Engineering","Engineering in general",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4813/"
"Master's degree","Heidelberg University","Master of Science in Biomedical Engineering","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6892/"
"Master's degree","Ulm University","Master of Science in Biophysics","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6114/"
"Master's degree","Offenburg University of Applied Sciences","Master of Science in Biotechnology (MBT)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5240/"
"Master's degree","University of Passau","Master of Science in Business Administration","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7077/"
"Master's degree","Humboldt-Universität zu Berlin","Master of Science in Business Administration","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6100/"
"Master's degree","Friedrich Schiller University Jena","Master of Science in Business Mathematics","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5322/"
"Master's degree","Technical University of Munich","Master of Science in Cartography","Surveying",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4200/"
"Master's degree","Ulm University","Master of Science in Chemical Engineering","Mechanical Engineering / Process Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4692/"
"Master's degree","Ulm University","Master of Science in Chemistry","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6938/"
"Master's degree","Freie Universität Berlin","Master of Science in Chemistry","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3706/"
"Master's degree","Friedrich Schiller University Jena","Master of Science in Chemistry of Materials","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5303/"
"Master's degree","Kiel University","Master of Science in Climate Physics: Meteorology and Physical Oceanography","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4114/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Master of Science in Cognitive Science","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4486/"
"Master's degree","RPTU University of Kaiserslautern-Landau","Master of Science in Commercial Vehicle Technology","Mechanical Engineering / Process Engineering",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3946/"
"Master's degree","Offenburg University of Applied Sciences","Master of Science in Communication and Media Engineering (CME)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3771/"
"Master's degree","Technical University of Munich","Master of Science in Communications and Electronics Engineering (MSCE)","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3768/"
"Master's degree","Technische Universität Ilmenau","Master of Science in Communications and Signal Processing (on-site/online/hybrid)","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3979/"
"Master's degree","University of Passau","Master of Science in Computational Mathematics","Mathematics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5367/"
"Master's degree","Paderborn University","Master of Science in Computer Engineering","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5625/"
"Master's degree","Bingen Technical University of Applied Sciences","Master of Science in Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8324/"
"Master's degree","University of Passau","Master of Science in Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4455/"
"Master's degree","Paderborn University","Master of Science in Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5616/"
"Master's degree","Kiel University","Master of Science in Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6148/"
"Master's degree","University of Freiburg","Master of Science in Computer Science","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3736/"
"Master's degree","Constructor University","Master of Science in Computer Science and Software Engineering","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8440/"
"Master's degree","Zeppelin University","Master of Science in Corporate Management & Economics | CME","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8479/"
"Master's degree","Kiel University","Master of Science in Dairy Science","Agriculture, Forestry and Nutritional Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4857/"
"Master's degree","Constructor University","Master of Science in Data Engineering","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4653/"
"Master's degree","Constructor University","Master of Science in Data Engineering Technologies","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9773/"
"Master's degree","Trier University","Master of Science in Data Science","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5351/"
"Master's degree","TU Dortmund University","Master of Science in Data Science","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8951/"
"Master's degree","Constructor University","Master of Science in Data Science for Society and Business","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8429/"
"Master's degree","Constructor University","Master of Science in Data Science for Society and Business","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9776/"
"Master's degree","Nürtingen-Geislingen University","Master of Science in Digital Business Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9267/"
"Master's degree","University of Potsdam","Master of Science in Digital Health","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5252/"
"Master's degree","Technical University of Munich","Master of Science in Earth-Oriented Space Science and Technology (ESPACE)","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3777/"
"Master's degree","Trier University","Master of Science in Economics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4236/"
"Master's degree","Ludwig-Maximilians-Universität München","Master of Science in Economics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4208/"
"Master's degree","University of Mannheim","Master of Science in Economics","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4193/"
"Master's degree","Kiel University","Master of Science in Economics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4275/"
"Master's degree","Friedrich Schiller University Jena","Master of Science in Economics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4251/"
"Master's degree","Universität Hamburg","Master of Science in Economics","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4076/"
"Master's degree","Humboldt-Universität zu Berlin","Master of Science in Economics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6323/"
"Master's degree","University of Hohenheim","Master of Science in Economics with Data Science","Law, Economics and Social Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4434/"
"Master's degree","Saarland University","Master of Science in Educational Technology (EduTech)","Education",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4397/"
"Master's degree","Kiel University","Master of Science in Electrical and Information Engineering","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6159/"
"Master's degree","University of Freiburg","Master of Science in Embedded Systems Engineering","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4360/"
"Master's degree","Ulm University","Master of Science in Energy Science and Technology","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3948/"
"Master's degree","Carl von Ossietzky University of Oldenburg","Master of Science in Engineering Physics","Physics, Astronomy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3746/"
"Master's degree","Offenburg University of Applied Sciences","Master of Science in Enterprise and IT Security (ENITS)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5576/"
"Master's degree","Kiel University","Master of Science in Environmental and Resource Economics","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4506/"
"Master's degree","Technical University of Munich","Master of Science in Environmental Engineering","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4185/"
"Master's degree","Leibniz University Hannover","Master of Science in Environmental Planning and Territorial Development (Umwelt- und Regionalplanung)","Land Management, Environmental Architecture",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7027/"
"Master's degree","Trier University","Master of Science in Environmental Sciences (MSc ES) (and DigES)","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3789/"
"Master's degree","Bingen Technical University of Applied Sciences","Master of Science in Environmental Sustainability","Land Management, Environmental Architecture",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7721/"
"Master's degree","Ludwig-Maximilians-Universität München","Master of Science in Epidemiology","Medicine in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4415/"
"Master's degree","Johannes Gutenberg University Mainz","Master of Science in Epidemiology","Social Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9813/"
"Master's degree","Ludwig-Maximilians-Universität München","Master of Science in Geobiology and Palaeobiology","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4487/"
"Master's degree","HafenCity University Hamburg","Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography","Surveying",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4254/"
"Master's degree","Trier University","Master of Science in Geoinformatics","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6304/"
"Master's degree","University of Münster","Master of Science in Geophysics","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6983/"
"Master's degree","Universität Hamburg","Master of Science in Geophysics","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8347/"
"Master's degree","Technische Hochschule Ingolstadt","Master of Science in Global Engineering and Management","Engineering in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8589/"
"Master's degree","Kühne Logistics University","Master of Science in Global Logistics and Supply Chain Management","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4246/"
"Master's degree","Technical University of Munich","Master of Science in Green Electronics","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3927/"
"Master's degree","Technical University of Munich","Master of Science in Industrial Chemistry","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3600/"
"Master's degree","Heinrich Heine University Düsseldorf","Master of Science in Industrial Pharmacy","Pharmacy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7647/"
"Master's degree","University of Münster","Master of Science in Information Systems","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4010/"
"Master's degree","Technical University of Munich","Master of Science in Integrated Circuit Design","Electrical Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3926/"
"Master's degree","Universität Hamburg","Master of Science in Integrated Climate System Sciences (MSc ICSS)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4115/"
"Master's degree","Universität Hamburg","Master of Science in Intelligent Adaptive Systems (IAS)","Computer Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4350/"
"Master's degree","FH Aachen University of Applied Sciences","Master of Science in International Automotive Engineering","Transport Engineering, Nautical Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3823/"
