"Program_Title","Institution","Level","City","Link","Field","Language","Country","ECTS","Department","Duration","Tuition","Contact_Email","Form","Institution_URL","Credits_Percent","ECTS_Foreign","Cost_per_ECTS","Subjects_Foreign","Linguistic_Requirements"
"Agricultural Sciences","Universität für Bodenkultur Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/6-agricultural-sciences-2-3-wien.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alpine Natural Hazards / Watershed Regulation","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/land-and-water-management/15-alpine-natural-hazards-watershed-regulation-12-3-wien.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Applied Geosciences","Montanuniversität Leoben","Bachelor","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/applied-geosciences/33-applied-geosciences-2-3-leoben.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Applied Geosciences","Montanuniversität Leoben","Master","Leoben","https://www.studienwahl.at/studies/engineering-sciences/mining-sciences/applied-geosciences/34-applied-geosciences-e-12-3-leoben.en.html","Engineering Sciences","English","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Informatics","Universität Salzburg","Bachelor","Salzburg","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/35-informatics-2-3-salzburg.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Informatics","Universität Salzburg","Master","Salzburg","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/36-informatics-12-3-salzburg.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agricultural Crop Sciences","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/44-agricultural-crop-sciences-12-3-wien.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Universität Innsbruck","Bachelor","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/60-architecture-2-3-innsbruck.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Universität Innsbruck","Master","Innsbruck","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/61-architecture-12-3-innsbruck.en.html","Engineering Sciences","German","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Architecture","Technische Universität Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/62-architecture-2-3-wien.en.html","Engineering Sciences","German","Austria","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
