"Program_Title","Institution","Level","Link","Language","Country","ECTS","Free_Tuition_EU"
"Civil Engineering","Technische Universität Wien","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/87-civil-engineering-2-3-wien.en.html","German","Austria",180,"Yes"
"Geotechnical and Hydraulic Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/88-geotechnical-and-hydraulic-engineering-e-12-3-graz.en.html","English","Austria",NA,"Yes"
"Civil Engineering Sciences and Structural Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/89-civil-engineering-sciences-and-structural-engineering-12-3-graz.en.html","German","Austria",NA,"Yes"
"Civil Engineering Sciences – Infrastructure","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/90-civil-engineering-sciences-infrastructure-12-3-graz.en.html","German","Austria",NA,"Yes"
"Civil Engineering and Construction Management","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/civil-engineering/91-civil-engineering-and-construction-management-2-3-graz.en.html","German","Austria",180,"Yes"
"Artificial Intelligence","Universität Linz","Master","https://www.studienwahl.at/studies/engineering-sciences/108-artificial-intelligence-e-12-3-linz.en.html","English","Austria",NA,"Yes"
"Biomedical Engineering","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biomedical-engineering/120-biomedical-engineering-2-3-graz.en.html","German","Austria",180,"Yes"
"Biomedical Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biomedical-engineering/121-biomedical-engineering-e-12-3-graz.en.html","English","Austria",NA,"Yes"
"Biomolecular Technology of Proteins","Universität für Bodenkultur Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/phd/124-biomolecular-technology-of-proteins-4-3-wien.en.html","German","Austria",NA,"Yes"
"Biophysics","Universität Linz","Master","https://www.studienwahl.at/studies/engineering-sciences/biotechnology/125-biophysics-e-12-3-linz.en.html","English","Austria",NA,"Yes"
"Biotechnology","Technische Universität Graz","Master","https://www.studienwahl.at/studies/medicinehealth/biomedicine/biotechnology-and-bioprocess-engineering/126-biotechnology-e-12-3-graz.en.html","English","Austria",NA,"Yes"
"Biotechnology","Universität für Bodenkultur Wien","Master","https://www.studienwahl.at/studies/natural-sciences/biotechnology/food-science-and-biotechnology/128-biotechnology-e-12-3-wien.en.html","English","Austria",NA,"Yes"
"Building Science and Environment","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/architecture-and-civil-engineering/architecture/147-building-science-and-environment-e-12-3-wien.en.html","English","Austria",NA,"Yes"
"Chemical and Pharmaceutical Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/natural-sciences/153-chemical-and-pharmaceutical-engineering-e-12-3-graz.en.html","English","Austria",NA,"Yes"
"Logic and Computation","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/computer-sciences/computer-sciences/169-logic-and-computation-e-12-3-wien.en.html","English","Austria",NA,"Yes"
"Visual Computing","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/computer-sciences/172-visual-computing-12-3-wien.en.html","German","Austria",NA,"Yes"
"Computer Mathematics","Universität Linz","Master","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/173-computer-mathematics-e-12-3-linz.en.html","English","Austria",NA,"Yes"
"Embedded Systems","Technische Universität Wien","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/174-embedded-systems-12-3-wien.en.html","German","Austria",NA,"Yes"
"Natural Resources and Life Sciences","Universität für Bodenkultur Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/181-natural-resources-and-life-sciences-4-3-wien.en.html","German","Austria",NA,"Yes"
"Computer Sciences","Universität Innsbruck","PhD","https://www.studienwahl.at/studies/engineering-sciences/phd/185-computer-sciences-4-3-innsbruck.en.html","German","Austria",NA,"Yes"
"Mining Sciences","Montanuniversität Leoben","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/194-mining-sciences-4-3-leoben.en.html","German","Austria",NA,"Yes"
"Natural Sciences","Universität Linz","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/199-natural-sciences-4-3-linz.en.html","German","Austria",NA,"Yes"
"Natural Sciences in the Field of Life Sciences","Universität Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/phd/214-natural-sciences-in-the-field-of-life-sciences-4-3-wien.en.html","German","Austria",NA,"Yes"
"Engineering Sciences","Universität Innsbruck","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/241-engineering-sciences-4-3-innsbruck.en.html","German","Austria",NA,"Yes"
"Engineering Sciences","Technische Universität Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/242-engineering-sciences-4-3-wien.en.html","German","Austria",NA,"Yes"
"Technical Sciences","Technische Universität Graz","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/243-technical-sciences-4-3-graz.en.html","German","Austria",NA,"Yes"
"Engineering Sciences","Universität Linz","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/244-engineering-sciences-4-3-linz.en.html","German","Austria",NA,"Yes"
"Technology","Universität Klagenfurt","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/245-technology-4-3-klagenfurt.en.html","German","Austria",NA,"Yes"
"Engineering Sciences","Universität für angewandte Kunst Wien","PhD","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/247-engineering-sciences-4-3-wien.en.html","German","Austria",NA,"Yes"
"Philosophy","Kunstuniversität Linz","PhD","https://www.studienwahl.at/studies/art-studies/phd/277-philosophy-4-3-linz.en.html","German","Austria",NA,"Yes"
"Electrical Engineering","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/304-electrical-engineering-2-3-graz.en.html","German","Austria",180,"Yes"
"Electrical Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/305-electrical-engineering-12-3-graz.en.html","German","Austria",NA,"Yes"
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Bachelor","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/306-electrical-engineering-and-audio-engineering-2-3-graz.en.html","German","Austria",180,"Yes"
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Master","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/307-electrical-engineering-and-audio-engineering-12-3-graz.en.html","German","Austria",NA,"Yes"
"Electrical Engineering and Business","Technische Universität Graz","Master","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/308-electrical-engineering-and-business-12-3-graz.en.html","German","Austria",NA,"Yes"
