"Title","University_Name","Program_Type","Location","Detail_Link","Area","Language"
"Engineering Sciences","Universität für angewandte Kunst Wien","PhD","Wien","https://www.studienwahl.at/studies/engineering-sciences/doctoral-programmes/247-engineering-sciences-4-3-wien.en.html","Engineering Sciences","German"
"Philosophy","Kunstuniversität Linz","PhD","Linz","https://www.studienwahl.at/studies/art-studies/phd/277-philosophy-4-3-linz.en.html","Engineering Sciences","German"
"Electrical Engineering","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/304-electrical-engineering-2-3-graz.en.html","Engineering Sciences","German"
"Electrical Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/305-electrical-engineering-12-3-graz.en.html","Engineering Sciences","German"
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Bachelor","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/306-electrical-engineering-and-audio-engineering-2-3-graz.en.html","Engineering Sciences","German"
"Electrical Engineering and Audio Engineering","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/art-studies/music-and-performing-arts/electrical-engineering-sound-engineering/307-electrical-engineering-and-audio-engineering-12-3-graz.en.html","Engineering Sciences","German"
"Electrical Engineering and Business","Technische Universität Graz","Master","Graz","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/308-electrical-engineering-and-business-12-3-graz.en.html","Engineering Sciences","German"
"Electrical Engineering and Information Technology","Technische Universität Wien","Bachelor","Wien","https://www.studienwahl.at/studies/engineering-sciences/information/electrical-engineering/309-electrical-engineering-and-information-technology-2-3-wien.en.html","Engineering Sciences","German"
"Automation and Robotic Systems","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/technology/electrical-engineering/313-automation-and-robotic-systems-12-3-wien.en.html","Engineering Sciences","German"
"International Master in Soils and Global Change (IMSOGLO)","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/321-international-master-in-soils-and-global-change-imsoglo-12-3-wien.en.html","Engineering Sciences","German"
"Environmental Sciences – Soil, Water and Biodiversity, ENVEURO","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/land-and-water-management/323-environmental-sciences-soil-water-and-biodiversity-enveuro-e-12-3-wien.en.html","Engineering Sciences","English"
"DDP MSc European Forestry","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/forestry-and-wood-science/343-ddp-msc-european-forestry-e-12-3-wien.en.html","Engineering Sciences","English"
"European Master in Animal Breeding and Genetics","Universität für Bodenkultur Wien","Master","Wien","https://www.studienwahl.at/studies/engineering-sciences/agriculture/agriculture/344-european-master-in-animal-breeding-and-genetics-e-12-3-wien.en.html","Engineering Sciences","English"
"Financial and Actuarial Mathematics","Technische Universität Wien","Master","Wien","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/361-financial-and-actuarial-mathematics-12-3-wien.en.html","Engineering Sciences","German"
"Financial and Actuarial Mathematics","Technische Universität Wien","Bachelor","Wien","https://www.studienwahl.at/studies/natural-sciences/mathematicsphysics-studies/technical-mathematics/362-financial-and-actuarial-mathematics-2-3-wien.en.html","Engineering Sciences","German"
