"Title","University","Degree","Duration","Tuition","Link","Language"
"Business Management","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",1.5,4295,"https://studyin.lt/programs/business-management-3/","English"
"Environmental Engineering and Management","Vilnius Gediminas Technical University (VILNIUS TECH)","Master‘s studies",2,5157,"https://studyin.lt/programs/environmental-engineering-and-management/","English"
"Applied Artificial Intelligence","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,3727,"https://studyin.lt/programs/digital-manufacturing/","English"
"Creative Industries","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,2865,"https://studyin.lt/programs/creative-industries/","English"
"Financial Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,2865,"https://studyin.lt/programs/financial-engineering/","English"
"Mechatronics and Robotics","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,3727,"https://studyin.lt/programs/mechatronics-and-robotics/","English"
"Economics Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,2865,"https://studyin.lt/programs/economics-engineering-2/","English"
"Mechanical Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,3727,"https://studyin.lt/programs/mechanical-engineering-4/","English"
"Information Technologies","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,3727,"https://studyin.lt/programs/information-technologies/","English"
"Computer Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,3727,"https://studyin.lt/programs/computer-engineering/","English"
"Information Systems Engineering","Vilnius Gediminas Technical University (VILNIUS TECH)","Bachelor's studies (university)",4,3727,"https://studyin.lt/programs/information-systems-engineering/","English"
"Sustainable Management and Production","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/sustainable-management-and-production/","English"
"Public Policy and Security","Kaunas University of Technology","Master‘s studies",1.5,4606,"https://studyin.lt/programs/public-policy-and-security/","English"
"Medical Physics","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/medical-physics/","English"
"Mechatronics","Kaunas University of Technology","Master‘s studies",2,5538,"https://studyin.lt/programs/mechatronics-2/","English"
