"University","Programme","City","Study_Level","Study_Type","Study_Language","Price"
"ISTANBUL UNIVERSITY","INTERNATIONAL ENTREPRENEURSHIP PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH",""
"ISTANBUL UNIVERSITY","INTERNATIONAL TRADE AND LOGISTICS PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","JOURNALISM PR. (DISTANCE EDUCATION)","İSTANBUL","Bachelor's Level","DISTANCE EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","MANAGEMENT INFORMATION SYSTEMS PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","OCCUPATIONAL HEALTH AND SAFETY PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","PHILOSOPHY PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","POLITICAL SCIENCE AND INTERNATIONAL RELATIONS PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","POLITICAL SCIENCE AND PUBLIC ADMINISTRATION PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","PUBLIC ADMINISTRATION PR. (DISTANCE EDUCATION)","İSTANBUL","Bachelor's Level","DISTANCE EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","PUBLIC RELATIONS AND PROMOTION PR. (DISTANCE EDUCATION)","İSTANBUL","Bachelor's Level","DISTANCE EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","RADIO, TELEVISION AND CINEMA PR. (DISTANCE EDUCATION)","İSTANBUL","Bachelor's Level","DISTANCE EDUCATION","TURKISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","RECREATION PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","SOCIOLOGY PR. (OPEN EDUCATION)","İSTANBUL","Bachelor's Level","OPEN EDUCATION","TURKISH","2.500,00  TL"
"ISTANBUL UNIVERSITY","PHARMACY PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","TURKISH","75.000,00  TL"
"ISTANBUL UNIVERSITY","PHARMACY PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","75.000,00  TL"
"ISTANBUL UNIVERSITY","BUSINESS ADMINISTRATION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)",""
"ISTANBUL UNIVERSITY","POLITICAL SCIENCE AND INTERNATIONAL RELATIONS PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","25.000,00  TL"
"ISTANBUL UNIVERSITY","POLITICAL SCIENCE AND INTERNATIONAL RELATIONS PR. (ENGLISH)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH","25.000,00  TL"
"ISTANBUL UNIVERSITY","POLITICAL SCIENCE AND INTERNATIONAL RELATIONS PR. (ENGLISH) (INTERNATIONAL DUAL DIPLOMA PROGRAM - ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ) (PAID)","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH",""
"ISTANBUL UNIVERSITY","POLITICAL SCIENCE AND PUBLIC ADMINISTRATION PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","25.000,00  TL"
"ISTANBUL UNIVERSITY","ASTRONOMY AND SPACE SCIENCES PR.","İSTANBUL","Bachelor's Level","NORMAL EDUCATION","ENGLISH (30%)","30.000,00  TL"
