"University","Title","Level","Link","Duration_years","ECTS","Language"
"NHH Norwegian School of Economics,","Financial Economics","Master","https://studyinnorway.no/study-opportunities/financial-economics",2,120,"English"
"UiT The Arctic University of Norway,","Fine Art - master","Master","https://studyinnorway.no/study-opportunities/fine-art-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Fine Art - Master's Programme","Master","https://studyinnorway.no/study-opportunities/fine-art-masters-programme",2,120,"English"
"Western Norway University of Applied Sciences, West Norway","Fire Safety","Master","https://studyinnorway.no/study-opportunities/fire-safety",2,120,"English"
"University of Oslo, East Norway","Fluid Mechanics","Master","https://studyinnorway.no/study-opportunities/fluid-mechanics",2,120,"English"
"Nord University, Mid Norway","Games and Entertainment Technology, Bachelor","Bachelor","https://studyinnorway.no/study-opportunities/games-and-entertainment-technology-bachelor",3,180,"English"
"University of Oslo, East Norway","Gender Studies","Master","https://studyinnorway.no/study-opportunities/gender-studies",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Genome Sciences","Master","https://studyinnorway.no/study-opportunities/genome-sciences",2,120,"English"
"University of Oslo, East Norway","Geosciences","Master","https://studyinnorway.no/study-opportunities/geosciences",2,120,"English"
"UiT The Arctic University of Norway,","Geosciences - master","Master","https://studyinnorway.no/study-opportunities/geosciences-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Geotechnics and Geohazards - Master's Programme","Master","https://studyinnorway.no/study-opportunities/geotechnics-and-geohazards-masters-programme",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Global Development Studies","Master","https://studyinnorway.no/study-opportunities/global-development-studies",2,120,"English"
"Norwegian University of Life Sciences, East Norway","Global Economy and Politics","Master","https://studyinnorway.no/study-opportunities/global-economy-and-politics",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Global Manufacturing Management - Master's Programme","Master","https://studyinnorway.no/study-opportunities/global-manufacturing-management-masters-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Globalisation and Sustainable Development - Master's Programme","Master","https://studyinnorway.no/study-opportunities/globalisation-and-sustainable-development-masters-programme",2,120,"English"
"University of Oslo, East Norway","Health Economics, Policy and Management","Master","https://studyinnorway.no/study-opportunities/health-economics-policy-and-management",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Health Management in Aquaculture - Master's Programme","Master","https://studyinnorway.no/study-opportunities/health-management-aquaculture-masters-programme",2,120,"English"
"Western Norway University of Applied Sciences, West Norway","Healthy Ageing and Rehabilitation","Master","https://studyinnorway.no/study-opportunities/healthy-ageing-and-rehabilitation",2,120,"English"
"University of Oslo, East Norway","Human Geography","Master","https://studyinnorway.no/study-opportunities/human-geography",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Hydrogen Systems and Enabling Technologies - Master's Programme","Master","https://studyinnorway.no/study-opportunities/hydrogen-systems-and-enabling-technologies-masters-programme",2,120,"English"
"University of South-Eastern Norway,","Hydrogen Technology","Master","https://studyinnorway.no/study-opportunities/hydrogen-technology",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Hydropower Development - Master's Programme","Master","https://studyinnorway.no/study-opportunities/hydropower-development-masters-programme",2,120,"English"
"University of Oslo, East Norway","Ibsen Studies","Master","https://studyinnorway.no/study-opportunities/ibsen-studies",2,120,"English"
"UiT The Arctic University of Norway,","Indigenous Studies - master","Master","https://studyinnorway.no/study-opportunities/indigenous-studies-master",2,120,"English"
"University of Stavanger, West Norway","Industrial Asset Management - Master of Science Degree Programme","Master","https://studyinnorway.no/study-opportunities/industrial-asset-management-master-science-degree-programme",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Industrial Ecology - Master's Programme","Master","https://studyinnorway.no/study-opportunities/industrial-ecology-masters-programme",2,120,"English"
"UiT The Arctic University of Norway, North Norway","Industrial Engineering - Master","Master","https://studyinnorway.no/study-opportunities/industrial-engineering-master",2,120,"English"
"Norwegian University of Science and Technology, Mid Norway","Informatics - Master's Programme","Master","https://studyinnorway.no/study-opportunities/informatics-masters-programme",2,120,"English"
"University of Oslo, East Norway","Informatics: Design, Use, Interaction","Master","https://studyinnorway.no/study-opportunities/informatics-design-use-interaction",2,120,"English"
"University of Oslo, East Norway","Informatics: Digital Economy and Leadership","Master","https://studyinnorway.no/study-opportunities/informatics-digital-economy-and-leadership",2,120,"English"
"University of Oslo, East Norway","Informatics: Information Security","Master","https://studyinnorway.no/study-opportunities/informatics-information-security",2,120,"English"
"University of Oslo, East Norway","Informatics: Language Technology","Master","https://studyinnorway.no/study-opportunities/informatics-language-technology",2,120,"English"
"University of Oslo, East Norway","Informatics: Programming and Systems Architecture","Master","https://studyinnorway.no/study-opportunities/informatics-programming-and-systems-architecture",2,120,"English"
"University of Oslo, East Norway","Informatics: Robotics and Intelligent Systems","Master","https://studyinnorway.no/study-opportunities/informatics-robotics-and-intelligent-systems",2,120,"English"
"University of Oslo, East Norway","Information and Communication Technology Law","Master","https://studyinnorway.no/study-opportunities/information-and-communication-technology-law",1,90,"English"
"Norwegian University of Science and Technology, East Norway","Information Security - Master's Programme","Master","https://studyinnorway.no/study-opportunities/information-security-masters-programme",NA,90,"English"
"Norwegian University of Science and Technology, East Norway","Information Security - Master's Programme","Master","https://studyinnorway.no/study-opportunities/information-security-masters-programme-0",2,120,"English"
"Norwegian University of Life Sciences,","Intelligent Water Technology","Master","https://studyinnorway.no/study-opportunities/intelligent-water-technology",2,120,"English"
"Norwegian University of Science and Technology, West Norway","International Business and Marketing - Master's Programme","Master","https://studyinnorway.no/study-opportunities/international-business-and-marketing-masters-programme",2,120,"English"
"University of Oslo, East Norway","International Community Health","Master","https://studyinnorway.no/study-opportunities/international-community-health",2,120,"English"
"OsloMet – Oslo Metropolitan University, East Norway","International Development, Education, and Sustainabilities","Master","https://studyinnorway.no/study-opportunities/international-development-education-and-sustainabilities",2,120,"English"
