"Label","DKK","EUR","NOK","PLN","RSD","SEK","TRY","USD","Country"
"Lettuce (1 head)",17.83,2.39,27.44,10.22,280.29,26.44,108.92,2.07,"Norway"
"Lettuce (1 head)",6.56,0.88,10.1,3.76,103.14,9.73,40.08,0.76,"Turkey"
"Lettuce (1 head)",5.1,0.68,7.85,2.92,80.14,7.56,31.14,0.59,"Serbia"
"Loaf of Fresh White Bread (500g)",9.18,1.23,14.12,5.26,144.23,13.6,56.05,1.07,"Estonia"
"Loaf of Fresh White Bread (500g)",10,1.34,15.38,5.73,157.12,14.82,61.06,1.16,"Spain"
"Loaf of Fresh White Bread (500g)",10.59,1.42,16.3,6.07,166.5,15.71,64.7,1.23,"Croatia"
"Loaf of Fresh White Bread (500g)",10.67,1.43,16.42,6.11,167.68,15.82,65.16,1.24,"Lithuania"
"Loaf of Fresh White Bread (500g)",12.91,1.73,19.86,7.4,202.85,19.14,78.83,1.5,"Cyprus"
"Loaf of Fresh White Bread (500g)",13.35,1.79,20.55,7.65,209.89,19.8,81.56,1.55,"Slovenia"
"Loaf of Fresh White Bread (500g)",14.4,1.93,22.16,8.25,226.31,21.35,87.94,1.67,"Germany"
"Loaf of Fresh White Bread (500g)",16.41,2.2,25.25,9.41,257.97,24.33,100.24,1.91,"Belgium"
"Loaf of Fresh White Bread (500g)",18.87,2.53,29.04,10.82,296.66,27.98,115.28,2.19,"Austria"
"Loaf of Fresh White Bread (500g)",20.81,2.79,32.03,11.93,327.15,30.86,127.13,2.42,"Luxembourg"
"Loaf of Fresh White Bread (500g)",8.6,1.15,13.24,4.93,135.22,12.76,52.55,1,"Poland"
"Loaf of Fresh White Bread (500g)",22.42,3.01,34.5,12.85,352.39,33.24,136.93,2.61,"Denmark"
"Loaf of Fresh White Bread (500g)",19.52,2.62,30.03,11.19,306.8,28.94,119.22,2.27,"Sweden"
"Loaf of Fresh White Bread (500g)",5.02,0.67,7.72,2.88,78.9,7.44,30.66,0.58,"Turkey"
"Loaf of Fresh White Bread (500g)",22.42,3.01,34.5,12.85,352.4,33.24,136.94,2.61,"Norway"
